institution,license_type,license_detail,ai_use_explicit,ai_permitted,gap,source_url,notes,gap_classification
IISc Bangalore,CC-BY,CC-BY 4.0 — stated on ETD submission form,False,,True,https://etd.iisc.ac.in/handle/2005/submit,CC-BY does not address AI training use,CC-BY — gap (AI use unaddressed)
Shodhganga,CC-BY-NC,CC-BY-NC 4.0 — INFLIBNET submission policy,False,,True,https://shodhganga.inflibnet.ac.in/aboutshodhganga.jsp,Non-commercial clause; AI training use unaddressed,CC-BY-NC — partial protection (commercial AI training arguably prohibited)
IIT Delhi,Institutional,IIT Delhi thesis deposit agreement; no CC license stated,False,,True,https://library.iitd.ac.in/etd,Institutional license; no AI policy,Institutional — gap (no AI clause)
IIT Bombay,Institutional,IIT Bombay institutional repository deposit agreement,False,,True,https://library.iitb.ac.in/etd,Institutional license; no AI policy,Institutional — gap (no AI clause)
IIT Madras,Institutional,IIT Madras ETD deposit agreement,False,,True,https://library.iitm.ac.in,Institutional license; no AI policy,Institutional — gap (no AI clause)
MIT DSpace,CC-BY,CC-BY 4.0 default; author may choose CC-BY-NC,False,,True,https://libraries.mit.edu/scholarly/publishing/dspace-mit/,CC-BY does not address AI training,CC-BY — gap (AI use unaddressed)
Virginia Tech VTechWorks,CC-BY,CC-BY 4.0 — VTechWorks ETD submission policy,False,,True,https://vtechworks.lib.vt.edu/,CC-BY; no AI policy,CC-BY — gap (AI use unaddressed)
UCLA eScholarship,Mixed,"Varies by author choice: CC-BY, CC-BY-NC, or All Rights Reserved",False,,True,https://escholarship.org/submit,Mixed licenses; no uniform AI policy,Mixed — gap (varies by document)
Univ. of Michigan Deep Blue,CC-BY,CC-BY 4.0 — Deep Blue Repositories deposit agreement,False,,True,https://deepblue.lib.umich.edu/,CC-BY; no AI policy,CC-BY — gap (AI use unaddressed)
Australian National Univ.,CC-BY,CC-BY 4.0 — ANU Open Research repository policy,False,,True,https://openresearch-repository.anu.edu.au/,CC-BY; no AI policy,CC-BY — gap (AI use unaddressed)
EThOS,Subscription,British Library EThOS — restricted; some OA theses CC-BY,False,False,True,https://ethos.bl.uk/,Restricted access; CC crawling likely unauthorised yet occurring,Subscription — gap (no explicit AI prohibition; yet crawled)
DART Europe,CC-BY,CC-BY — DART Europe portal aggregates OA European ETDs,False,,True,https://dart-europe.org/,CC-BY; no AI policy,CC-BY — gap (AI use unaddressed)
NDLTD Union Catalog,Mixed,Aggregator — license varies by member institution,False,,True,https://union.ndltd.org/,Mixed; no uniform AI policy,Mixed — gap (varies by document)
OATD,Mixed,Aggregator — links to OA theses; license varies,False,,True,https://oatd.org/,Mixed; no uniform AI policy,Mixed — gap (varies by document)
ProQuest Dissertations,Subscription,ProQuest PQDT — commercial subscription; all rights reserved,False,False,True,https://proquest.com/pqdtglobal,Subscription/restricted; AI training use clearly unauthorised,Subscription — gap (no explicit AI prohibition; yet crawled)
